i_,i0_,name,mult,inchi,path
656,567,BC5H10OOH-DO2,2,"InChI=1S/C5H11O4/c1-5(2,9-7)3-4-8-6/h7H,3-4H2,1-2H3",
657,568,CC5H10OOH-AO2,2,"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h4-5,7H,3H2,1-2H3/t4-,5-/m0/s1",
658,568,CC5H10OOH-AO2,2,"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h4-5,7H,3H2,1-2H3/t4-,5+/m0/s1",
659,569,CC5H10OOH-BO2,2,"InChI=1S/C5H11O4/c1-4(8-6)5(2,3)9-7/h4,6H,1-3H3/t4-/m0/s1",
660,570,CC5H10OOH-DO2,2,"InChI=1S/C5H11O4/c1-4(2)5(9-7)3-8-6/h4-5,7H,3H2,1-2H3/t5-/m0/s1",
661,571,DC5H10OOH-AO2,2,"InChI=1S/C5H11O4/c1-5(4-9-7)2-3-8-6/h5-6H,2-4H2,1H3/t5-/m0/s1",
662,572,DC5H10OOH-BO2,2,"InChI=1S/C5H11O4/c1-5(2,9-7)3-4-8-6/h6H,3-4H2,1-2H3",
663,573,DC5H10OOH-CO2,2,"InChI=1S/C5H11O4/c1-4(2)5(9-7)3-8-6/h4-6H,3H2,1-2H3/t5-/m0/s1",
664,574,"C5H9A-A,BOOH",2,"InChI=1S/C5H11O4/c1-3-5(2,9-7)4-8-6/h6-7H,2-4H2,1H3/t5-/m0/s1",
665,575,"C5H9A-A,COOH",2,"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h4-7H,1,3H2,2H3/t4-,5-/m0/s1",
666,575,"C5H9A-A,COOH",2,"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h4-7H,1,3H2,2H3/t4-,5+/m0/s1",
667,576,"C5H9A-A,DOOH",2,"InChI=1S/C5H11O4/c1-5(4-9-7)2-3-8-6/h5-7H,1-4H2/t5-/m0/s1",
668,577,"C5H9A-B,COOH",2,"InChI=1S/C5H11O4/c1-4(8-6)5(2,3)9-7/h4,6-7H,2H2,1,3H3/t4-,5-/m0/s1",
669,577,"C5H9A-B,COOH",2,"InChI=1S/C5H11O4/c1-4(8-6)5(2,3)9-7/h4,6-7H,2H2,1,3H3/t4-,5+/m0/s1",
670,578,"C5H9A-B,DOOH",2,"InChI=1S/C5H11O4/c1-5(2,9-7)3-4-8-6/h6-7H,1,3-4H2,2H3/t5-/m0/s1",
671,579,"C5H9A-C,DOOH",2,"InChI=1S/C5H11O4/c1-4(2)5(9-7)3-8-6/h4-7H,1,3H2,2H3/t4-,5-/m0/s1",
672,579,"C5H9A-C,DOOH",2,"InChI=1S/C5H11O4/c1-4(2)5(9-7)3-8-6/h4-7H,1,3H2,2H3/t4-,5+/m0/s1",
673,580,"C5H9B-A,AOOH",2,"InChI=1S/C5H11O4/c1-2-5(3-8-6)4-9-7/h6-7H,2-4H2,1H3",
674,581,"C5H9B-A,COOH",2,"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h5-7H,3H2,1-2H3/t5-/m0/s1",
675,582,"C5H9B-A,DOOH",2,"InChI=1S/C5H11O4/c1-5(4-9-7)2-3-8-6/h6-7H,2-4H2,1H3",
676,583,"C5H9B-C,DOOH",2,"InChI=1S/C5H11O4/c1-4(2)5(9-7)3-8-6/h5-7H,3H2,1-2H3/t5-/m0/s1",
677,584,"C5H9C-A,AOOH",2,"InChI=1S/C5H11O4/c1-2-5(3-8-6)4-9-7/h2,5-7H,3-4H2,1H3",
678,585,"C5H9C-A,BOOH",2,"InChI=1S/C5H11O4/c1-3-5(2,9-7)4-8-6/h3,6-7H,4H2,1-2H3/t5-/m0/s1",
679,586,"C5H9C-A,DOOH",2,"InChI=1S/C5H11O4/c1-5(4-9-7)2-3-8-6/h2,5-7H,3-4H2,1H3/t5-/m0/s1",
680,587,"C5H9C-B,DOOH",2,"InChI=1S/C5H11O4/c1-5(2,9-7)3-4-8-6/h3,6-7H,4H2,1-2H3",
681,588,"C5H9D-A,AOOH",2,"InChI=1S/C5H11O4/c1-2-5(3-8-6)4-9-7/h5-7H,1-4H2",
682,589,"C5H9D-A,BOOH",2,"InChI=1S/C5H11O4/c1-3-5(2,9-7)4-8-6/h6-7H,1,3-4H2,2H3/t5-/m0/s1",
683,590,"C5H9D-A,COOH",2,"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h4-7H,2-3H2,1H3/t4-,5-/m0/s1",
684,590,"C5H9D-A,COOH",2,"InChI=1S/C5H11O4/c1-4(3-8-6)5(2)9-7/h4-7H,2-3H2,1H3/t4-,5+/m0/s1",
685,591,"C5H9D-B,COOH",2,"InChI=1S/C5H11O4/c1-4(8-6)5(2,3)9-7/h4,6-7H,1H2,2-3H3/t4-/m0/s1",
686,592,C5H9A-AOOH,1,"InChI=1S/C5H10O2/c1-3-5(2)4-7-6/h6H,2-4H2,1H3",
687,593,C5H9A-COOH,1,"InChI=1S/C5H10O2/c1-4(2)5(3)7-6/h5-6H,1H2,2-3H3/t5-/m0/s1",
688,594,C5H9A-DOOH,1,"InChI=1S/C5H10O2/c1-5(2)3-4-7-6/h6H,1,3-4H2,2H3",
689,595,C5H9B-AOOH,1,"InChI=1S/C5H10O2/c1-3-5(2)4-7-6/h3,6H,4H2,1-2H3/b5-3-",
690,595,C5H9B-AOOH,1,"InChI=1S/C5H10O2/c1-3-5(2)4-7-6/h3,6H,4H2,1-2H3/b5-3+",
691,596,C5H9B-DOOH,1,"InChI=1S/C5H10O2/c1-5(2)3-4-7-6/h3,6H,4H2,1-2H3",
692,597,C5H9C-AOOH,1,"InChI=1S/C5H10O2/c1-3-5(2)4-7-6/h3,5-6H,1,4H2,2H3/t5-/m0/s1",
693,598,C5H9C-BOOH,1,"InChI=1S/C5H10O2/c1-4-5(2,3)7-6/h4,6H,1H2,2-3H3",
694,599,C5H9OA-AOOH-B,1,"InChI=1S/C5H10O3/c1-2-5(8-6)3-7-4-5/h6H,2-4H2,1H3",
695,600,C5H9OA-AOOH-C,1,"InChI=1S/C5H10O3/c1-4(8-6)5-2-7-3-5/h4-6H,2-3H2,1H3/t4-/m0/s1",
696,601,C5H9OA-AOOH-D,1,"InChI=1S/C5H10O3/c6-8-2-1-5-3-7-4-5/h5-6H,1-4H2",
697,602,C5H9OA-BOOH-A,1,"InChI=1S/C5H10O3/c1-2-5(3-7-5)4-8-6/h6H,2-4H2,1H3/t5-/m0/s1",
698,603,C5H9OA-BOOH-C,1,"InChI=1S/C5H10O3/c1-4(8-6)5(2)3-7-5/h4,6H,3H2,1-2H3/t4-,5-/m0/s1",
699,603,C5H9OA-BOOH-C,1,"InChI=1S/C5H10O3/c1-4(8-6)5(2)3-7-5/h4,6H,3H2,1-2H3/t4-,5+/m0/s1",
700,604,C5H9OA-BOOH-D,1,"InChI=1S/C5H10O3/c1-5(4-7-5)2-3-8-6/h6H,2-4H2,1H3/t5-/m0/s1",
701,605,C5H9OA-COOH-A,1,"InChI=1S/C5H10O3/c1-4-5(2-7-4)3-8-6/h4-6H,2-3H2,1H3/t4-,5-/m0/s1",
702,605,C5H9OA-COOH-A,1,"InChI=1S/C5H10O3/c1-4-5(2-7-4)3-8-6/h4-6H,2-3H2,1H3/t4-,5+/m0/s1",
703,606,C5H9OA-COOH-B,1,"InChI=1S/C5H10O3/c1-4-5(2,8-6)3-7-4/h4,6H,3H2,1-2H3/t4-,5-/m0/s1",
704,606,C5H9OA-COOH-B,1,"InChI=1S/C5H10O3/c1-4-5(2,8-6)3-7-4/h4,6H,3H2,1-2H3/t4-,5+/m0/s1",
705,607,C5H9OA-COOH-D,1,"InChI=1S/C5H10O3/c1-4-2-7-5(4)3-8-6/h4-6H,2-3H2,1H3/t4-,5-/m0/s1",
706,607,C5H9OA-COOH-D,1,"InChI=1S/C5H10O3/c1-4-2-7-5(4)3-8-6/h4-6H,2-3H2,1H3/t4-,5+/m0/s1",
707,608,C5H9OA-DOOH-A,1,"InChI=1S/C5H10O3/c6-8-4-5-1-2-7-3-5/h5-6H,1-4H2/t5-/m0/s1",
708,609,C5H9OA-DOOH-B,1,"InChI=1S/C5H10O3/c1-5(8-6)2-3-7-4-5/h6H,2-4H2,1H3/t5-/m0/s1",
709,610,C5H9OA-DOOH-C,1,"InChI=1S/C5H10O3/c1-4-2-7-3-5(4)8-6/h4-6H,2-3H2,1H3/t4-,5-/m0/s1",
