i_,i0_,name,mult,inchi,path
811,700,CH3CHCH2COCH3,2,"InChI=1S/C5H9O/c1-3-4-5(2)6/h3H,4H2,1-2H3",
812,701,CH2CH2CH2COCH3,2,"InChI=1S/C5H9O/c1-3-4-5(2)6/h1,3-4H2,2H3",
813,702,CH2CH2COC2H5,2,"InChI=1S/C5H9O/c1-3-5(6)4-2/h1,3-4H2,2H3",
814,703,CH3CHCOC2H5,2,"InChI=1S/C5H9O/c1-3-5(6)4-2/h3H,4H2,1-2H3",
815,704,NC52ONEO2-3,2,"InChI=1S/C5H9O3/c1-3-5(8-7)4(2)6/h5H,3H2,1-2H3/t5-/m0/s1",
816,705,NC52ONEO2-4,2,"InChI=1S/C5H9O3/c1-4(6)3-5(2)8-7/h5H,3H2,1-2H3/t5-/m0/s1",
817,706,NC52ONEO2-5,2,"InChI=1S/C5H9O3/c1-5(6)3-2-4-8-7/h2-4H2,1H3",
818,707,NC53ONEO2-1,2,"InChI=1S/C5H9O3/c1-2-5(6)3-4-8-7/h2-4H2,1H3",
819,708,NC53ONEO2-2,2,"InChI=1S/C5H9O3/c1-3-5(6)4(2)8-7/h4H,3H2,1-2H3/t4-/m0/s1",
820,709,NC52ONE-3,1,"InChI=1S/C5H8O/c1-3-4-5(2)6/h3-4H,1-2H3/b4-3-",
821,709,NC52ONE-3,1,"InChI=1S/C5H8O/c1-3-4-5(2)6/h3-4H,1-2H3/b4-3+",
822,710,NC52ONE-4,1,"InChI=1S/C5H8O/c1-3-4-5(2)6/h3H,1,4H2,2H3",
823,711,NC53ONE-1,1,"InChI=1S/C5H8O/c1-3-5(6)4-2/h3H,1,4H2,2H3",
824,712,NC5H11OH,1,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",
825,713,C5H10OH11,2,"InChI=1S/C5H11O/c1-2-3-4-5-6/h5-6H,2-4H2,1H3",
826,714,C5H10OH12,2,"InChI=1S/C5H11O/c1-2-3-4-5-6/h4,6H,2-3,5H2,1H3",
827,715,C5H10OH13,2,"InChI=1S/C5H11O/c1-2-3-4-5-6/h3,6H,2,4-5H2,1H3",
828,716,C5H10OH14,2,"InChI=1S/C5H11O/c1-2-3-4-5-6/h2,6H,3-5H2,1H3",
829,717,C5H10OH15,2,"InChI=1S/C5H11O/c1-2-3-4-5-6/h6H,1-5H2",
830,718,C5H10OH-1O2,2,"InChI=1S/C5H11O3/c1-2-3-4-5(6)8-7/h5-6H,2-4H2,1H3/t5-/m0/s1",
831,719,C5H10OH-2O2,2,"InChI=1S/C5H11O3/c1-2-3-5(4-6)8-7/h5-6H,2-4H2,1H3/t5-/m0/s1",
832,720,C5H10OH-3O2,2,"InChI=1S/C5H11O3/c1-2-5(8-7)3-4-6/h5-6H,2-4H2,1H3/t5-/m0/s1",
833,721,C5H10OH-4O2,2,"InChI=1S/C5H11O3/c1-5(8-7)3-2-4-6/h5-6H,2-4H2,1H3/t5-/m0/s1",
834,722,C5H10OH-5O2,2,"InChI=1S/C5H11O3/c6-4-2-1-3-5-8-7/h6H,1-5H2",
835,723,C5H9OH1-1,1,"InChI=1S/C5H10O/c1-2-3-4-5-6/h4-6H,2-3H2,1H3/b5-4-",
836,723,C5H9OH1-1,1,"InChI=1S/C5H10O/c1-2-3-4-5-6/h4-6H,2-3H2,1H3/b5-4+",
837,724,C5H9OH1-2,1,"InChI=1S/C5H10O/c1-2-3-4-5-6/h3-4,6H,2,5H2,1H3/b4-3-",
838,724,C5H9OH1-2,1,"InChI=1S/C5H10O/c1-2-3-4-5-6/h3-4,6H,2,5H2,1H3/b4-3+",
839,725,C5H9OH1-3,1,"InChI=1S/C5H10O/c1-2-3-4-5-6/h2-3,6H,4-5H2,1H3/b3-2-",
840,725,C5H9OH1-3,1,"InChI=1S/C5H10O/c1-2-3-4-5-6/h2-3,6H,4-5H2,1H3/b3-2+",
841,726,C5H9OH1-4,1,"InChI=1S/C5H10O/c1-2-3-4-5-6/h2,6H,1,3-5H2",
842,727,NC6H14,1,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",
843,728,C6H13-1,2,"InChI=1S/C6H13/c1-3-5-6-4-2/h1,3-6H2,2H3",
844,729,C6H13-2,2,"InChI=1S/C6H13/c1-3-5-6-4-2/h3H,4-6H2,1-2H3",
845,730,C6H13-3,2,"InChI=1S/C6H13/c1-3-5-6-4-2/h5H,3-4,6H2,1-2H3",
846,731,C6H13OOH-1,1,"InChI=1S/C6H14O2/c1-2-3-4-5-6-8-7/h7H,2-6H2,1H3",
847,732,C6H13OOH-2,1,"InChI=1S/C6H14O2/c1-3-4-5-6(2)8-7/h6-7H,3-5H2,1-2H3/t6-/m0/s1",
848,733,C6H13OOH-3,1,"InChI=1S/C6H14O2/c1-3-5-6(4-2)8-7/h6-7H,3-5H2,1-2H3/t6-/m0/s1",
849,734,C6H13O2-1,2,"InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h2-6H2,1H3",
850,735,C6H13O2-2,2,"InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h6H,3-5H2,1-2H3/t6-/m0/s1",
851,736,C6H13O2-3,2,"InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h6H,3-5H2,1-2H3/t6-/m0/s1",
852,737,C6H13O-1,2,"InChI=1S/C6H13O/c1-2-3-4-5-6-7/h2-6H2,1H3",
853,738,C6H13O-2,2,"InChI=1S/C6H13O/c1-3-4-5-6(2)7/h6H,3-5H2,1-2H3/t6-/m0/s1",
854,739,C6H13O-3,2,"InChI=1S/C6H13O/c1-3-5-6(7)4-2/h6H,3-5H2,1-2H3/t6-/m0/s1",
855,740,C6H12OOH1-2,2,"InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h5,7H,2-4,6H2,1H3",
856,741,C6H12OOH1-3,2,"InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h4,7H,2-3,5-6H2,1H3",
857,742,C6H12OOH1-4,2,"InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h3,7H,2,4-6H2,1H3",
858,743,C6H12OOH1-5,2,"InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h2,7H,3-6H2,1H3",
859,744,C6H12OOH2-1,2,"InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h6-7H,2-5H2,1H3/t6-/m0/s1",
860,745,C6H12OOH2-3,2,"InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h5-7H,3-4H2,1-2H3/t6-/m0/s1",
861,746,C6H12OOH2-4,2,"InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h4,6-7H,3,5H2,1-2H3/t6-/m0/s1",
862,747,C6H12OOH2-5,2,"InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h3,6-7H,4-5H2,1-2H3/t6-/m0/s1",
863,748,C6H12OOH2-6,2,"InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h6-7H,1,3-5H2,2H3/t6-/m0/s1",
864,749,C6H12OOH3-1,2,"InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h6-7H,2-5H2,1H3/t6-/m0/s1",
865,750,C6H12OOH3-2,2,"InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h4,6-7H,3,5H2,1-2H3/t6-/m0/s1",
866,751,C6H12OOH3-4,2,"InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h5-7H,3-4H2,1-2H3/t6-/m0/s1",
867,752,C6H12OOH3-5,2,"InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h3,6-7H,4-5H2,1-2H3/t6-/m0/s1",
868,753,C6H12OOH3-6,2,"InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h6-7H,1,3-5H2,2H3/t6-/m0/s1",
869,754,C6H12O1-2,1,"InChI=1S/C6H12O/c1-2-3-4-6-5-7-6/h6H,2-5H2,1H3/t6-/m0/s1",
870,755,C6H12O1-3,1,"InChI=1S/C6H12O/c1-2-3-6-4-5-7-6/h6H,2-5H2,1H3/t6-/m0/s1",
871,756,C6H12O1-4,1,"InChI=1S/C6H12O/c1-2-6-4-3-5-7-6/h6H,2-5H2,1H3/t6-/m0/s1",
872,757,C6H12O1-5,1,"InChI=1S/C6H12O/c1-6-4-2-3-5-7-6/h6H,2-5H2,1H3/t6-/m0/s1",
873,758,C6H12O2-3,1,"InChI=1S/C6H12O/c1-3-4-6-5(2)7-6/h5-6H,3-4H2,1-2H3/t5-,6-/m0/s1",
874,758,C6H12O2-3,1,"InChI=1S/C6H12O/c1-3-4-6-5(2)7-6/h5-6H,3-4H2,1-2H3/t5-,6+/m0/s1",
875,759,C6H12O2-4,1,"InChI=1S/C6H12O/c1-3-6-4-5(2)7-6/h5-6H,3-4H2,1-2H3/t5-,6-/m0/s1",
876,759,C6H12O2-4,1,"InChI=1S/C6H12O/c1-3-6-4-5(2)7-6/h5-6H,3-4H2,1-2H3/t5-,6+/m0/s1",
877,760,C6H12O2-5,1,"InChI=1S/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3/t5-,6-/m0/s1",
878,760,C6H12O2-5,1,"InChI=1S/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3/t5-,6+",
879,761,C6H12O3-4,1,"InChI=1S/C6H12O/c1-3-5-6(4-2)7-5/h5-6H,3-4H2,1-2H3/t5-,6-/m0/s1",
880,761,C6H12O3-4,1,"InChI=1S/C6H12O/c1-3-5-6(4-2)7-5/h5-6H,3-4H2,1-2H3/t5-,6+",
881,762,C6H12OOH1-2O2,2,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h6-7H,2-5H2,1H3/t6-/m0/s1",
882,763,C6H12OOH1-3O2,2,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h6-7H,2-5H2,1H3/t6-/m0/s1",
883,764,C6H12OOH1-4O2,2,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h6-7H,2-5H2,1H3/t6-/m0/s1",
884,765,C6H12OOH1-5O2,2,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h6-7H,2-5H2,1H3/t6-/m0/s1",
885,766,C6H12OOH2-1O2,2,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h6,8H,2-5H2,1H3/t6-/m0/s1",
886,767,C6H12OOH2-3O2,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-7H,3-4H2,1-2H3/t5-,6-/m0/s1",
887,767,C6H12OOH2-3O2,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-7H,3-4H2,1-2H3/t5-,6+/m0/s1",
888,768,C6H12OOH2-4O2,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-7H,3-4H2,1-2H3/t5-,6-/m0/s1",
889,768,C6H12OOH2-4O2,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-7H,3-4H2,1-2H3/t5-,6+/m0/s1",
890,769,C6H12OOH2-5O2,2,"InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h5-7H,3-4H2,1-2H3/t5-,6-/m0/s1",
891,769,C6H12OOH2-5O2,2,"InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h5-7H,3-4H2,1-2H3/t5-,6+/m0/s1",
892,770,C6H12OOH2-6O2,2,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h6,8H,2-5H2,1H3/t6-/m0/s1",
893,771,C6H12OOH3-1O2,2,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h6,8H,2-5H2,1H3/t6-/m0/s1",
894,772,C6H12OOH3-2O2,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-6,8H,3-4H2,1-2H3/t5-,6-/m0/s1",
895,772,C6H12OOH3-2O2,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-6,8H,3-4H2,1-2H3/t5-,6+/m0/s1",
896,773,C6H12OOH3-4O2,2,"InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h5-7H,3-4H2,1-2H3/t5-,6-/m0/s1",
897,773,C6H12OOH3-4O2,2,"InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h5-7H,3-4H2,1-2H3/t5-,6+/m0/s1",
898,774,C6H12OOH3-5O2,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-6,8H,3-4H2,1-2H3/t5-,6-/m0/s1",
899,774,C6H12OOH3-5O2,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-6,8H,3-4H2,1-2H3/t5-,6+/m0/s1",
900,775,C6H12OOH3-6O2,2,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h6,8H,2-5H2,1H3/t6-/m0/s1",
901,776,C6H11-1D3OOH,1,"InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h4,6-7H,2-3,5H2,1H3/t6-/m0/s1",
902,777,C6H11-1D4OOH,1,"InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h3,6-7H,1,4-5H2,2H3/t6-/m0/s1",
903,778,C6H11-1D5OOH,1,"InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h3,6-7H,1,4-5H2,2H3/t6-/m0/s1",
904,779,C6H11-1D6OOH,1,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h2,7H,1,3-6H2",
905,780,C6H11-2D1OOH,1,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h4-5,7H,2-3,6H2,1H3/b5-4-",
906,780,C6H11-2D1OOH,1,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h4-5,7H,2-3,6H2,1H3/b5-4+",
907,781,C6H11-2D4OOH,1,"InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h3,5-7H,4H2,1-2H3/b5-3-/t6-/m0/s1",
908,781,C6H11-2D4OOH,1,"InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h3,5-7H,4H2,1-2H3/b5-3+/t6-/m0/s1",
909,782,C6H11-2D5OOH,1,"InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h3-4,6-7H,5H2,1-2H3/b4-3-/t6-/m0/s1",
910,782,C6H11-2D5OOH,1,"InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h3-4,6-7H,5H2,1-2H3/b4-3+/t6-/m0/s1",
911,783,C6H11-2D6OOH,1,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h2-3,7H,4-6H2,1H3/b3-2-",
912,783,C6H11-2D6OOH,1,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h2-3,7H,4-6H2,1H3/b3-2+",
913,784,C6H11-3D1OOH,1,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h3-4,7H,2,5-6H2,1H3/b4-3-",
914,784,C6H11-3D1OOH,1,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h3-4,7H,2,5-6H2,1H3/b4-3+",
915,785,C6H11-3D2OOH,1,"InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h4-7H,3H2,1-2H3/b5-4-/t6-/m0/s1",
916,785,C6H11-3D2OOH,1,"InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h4-7H,3H2,1-2H3/b5-4+/t6-/m0/s1",
917,786,C6H11Q12-3,2,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h4,6-8H,2-3,5H2,1H3/t6-/m0/s1",
918,787,C6H11Q12-4,2,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h3,6-8H,2,4-5H2,1H3/t6-/m0/s1",
919,788,C6H11Q12-5,2,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h2,6-8H,3-5H2,1H3/t6-/m0/s1",
920,789,C6H11Q12-6,2,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h6-8H,1-5H2/t6-/m0/s1",
921,790,C6H11Q13-2,2,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h4,6-8H,2-3,5H2,1H3/t6-/m0/s1",
922,791,C6H11Q13-4,2,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h3,6-8H,2,4-5H2,1H3/t6-/m0/s1",
923,792,C6H11Q13-5,2,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h2,6-8H,3-5H2,1H3/t6-/m0/s1",
924,793,C6H11Q13-6,2,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h6-8H,1-5H2/t6-/m0/s1",
925,794,C6H11Q14-2,2,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h3,6-8H,2,4-5H2,1H3/t6-/m0/s1",
926,795,C6H11Q14-3,2,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h4,6-8H,2-3,5H2,1H3/t6-/m0/s1",
927,796,C6H11Q14-5,2,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h2,6-8H,3-5H2,1H3/t6-/m0/s1",
928,797,C6H11Q14-6,2,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h6-8H,1-5H2/t6-/m0/s1",
929,798,C6H11Q15-2,2,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h3,6-8H,2,4-5H2,1H3/t6-/m0/s1",
930,799,C6H11Q15-3,2,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h2,6-8H,3-5H2,1H3/t6-/m0/s1",
931,800,C6H11Q15-4,2,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h4,6-8H,2-3,5H2,1H3/t6-/m0/s1",
932,801,C6H11Q15-6,2,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h6-8H,1-5H2/t6-/m0/s1",
933,802,C6H11Q23-1,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-8H,2-4H2,1H3/t5-,6-/m0/s1",
934,802,C6H11Q23-1,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-8H,2-4H2,1H3/t5-,6+/m0/s1",
935,803,C6H11Q23-4,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h4-8H,3H2,1-2H3/t5-,6-/m0/s1",
936,803,C6H11Q23-4,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h4-8H,3H2,1-2H3/t5-,6+/m0/s1",
937,804,C6H11Q23-5,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h3,5-8H,4H2,1-2H3/t5-,6-/m0/s1",
938,804,C6H11Q23-5,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h3,5-8H,4H2,1-2H3/t5-,6+/m0/s1",
939,805,C6H11Q23-6,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-8H,1,3-4H2,2H3/t5-,6-/m0/s1",
940,805,C6H11Q23-6,2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-8H,1,3-4H2,2H3/t5-,6+/m0/s1",
941,806,C6H11Q24-1,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-8H,2-4H2,1H3/t5-,6-/m0/s1",
942,806,C6H11Q24-1,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-8H,2-4H2,1H3/t5-,6+/m0/s1",
943,807,C6H11Q24-3,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h4-8H,3H2,1-2H3/t5-,6-/m0/s1",
944,807,C6H11Q24-3,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h4-8H,3H2,1-2H3/t5-,6+/m0/s1",
945,808,C6H11Q24-5,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h3,5-8H,4H2,1-2H3/t5-,6-/m0/s1",
946,808,C6H11Q24-5,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h3,5-8H,4H2,1-2H3/t5-,6+/m0/s1",
947,809,C6H11Q24-6,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-8H,1,3-4H2,2H3/t5-,6-/m0/s1",
948,809,C6H11Q24-6,2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-8H,1,3-4H2,2H3/t5-,6+/m0/s1",
949,810,C6H11Q25-1,2,"InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h5-8H,1,3-4H2,2H3/t5-,6-/m0/s1",
950,810,C6H11Q25-1,2,"InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h5-8H,1,3-4H2,2H3/t5-,6+/m0/s1",
951,811,C6H11Q25-3,2,"InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h3,5-8H,4H2,1-2H3/t5-,6-/m0/s1",
952,811,C6H11Q25-3,2,"InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h3,5-8H,4H2,1-2H3/t5-,6+/m0/s1",
953,812,C6H11Q34-1,2,"InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h5-8H,1,3-4H2,2H3/t5-,6-/m0/s1",
954,812,C6H11Q34-1,2,"InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h5-8H,1,3-4H2,2H3/t5-,6+/m0/s1",
955,813,C6H11Q34-2,2,"InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h3,5-8H,4H2,1-2H3/t5-,6-/m0/s1",
956,813,C6H11Q34-2,2,"InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h3,5-8H,4H2,1-2H3/t5-,6+/m0/s1",
957,814,C6KET12,1,"InChI=1S/C6H12O3/c1-2-3-4-6(5-7)9-8/h5-6,8H,2-4H2,1H3/t6-/m0/s1",
958,815,C6KET13,1,"InChI=1S/C6H12O3/c1-2-3-6(9-8)4-5-7/h5-6,8H,2-4H2,1H3/t6-/m0/s1",
959,816,C6KET14,1,"InChI=1S/C6H12O3/c1-2-6(9-8)4-3-5-7/h5-6,8H,2-4H2,1H3/t6-/m0/s1",
960,817,C6KET15,1,"InChI=1S/C6H12O3/c1-6(9-8)4-2-3-5-7/h5-6,8H,2-4H2,1H3/t6-/m0/s1",
961,818,C6KET21,1,"InChI=1S/C6H12O3/c1-2-3-4-6(7)5-9-8/h8H,2-5H2,1H3",
962,819,C6KET23,1,"InChI=1S/C6H12O3/c1-3-4-6(9-8)5(2)7/h6,8H,3-4H2,1-2H3/t6-/m0/s1",
963,820,C6KET24,1,"InChI=1S/C6H12O3/c1-3-6(9-8)4-5(2)7/h6,8H,3-4H2,1-2H3/t6-/m0/s1",
964,821,C6KET25,1,"InChI=1S/C6H12O3/c1-5(7)3-4-6(2)9-8/h6,8H,3-4H2,1-2H3/t6-/m0/s1",
965,822,C6KET26,1,"InChI=1S/C6H12O3/c1-6(7)4-2-3-5-9-8/h8H,2-5H2,1H3",
966,823,C6KET31,1,"InChI=1S/C6H12O3/c1-2-3-6(7)4-5-9-8/h8H,2-5H2,1H3",
967,824,C6KET32,1,"InChI=1S/C6H12O3/c1-3-4-6(7)5(2)9-8/h5,8H,3-4H2,1-2H3/t5-/m0/s1",
968,825,C6KET34,1,"InChI=1S/C6H12O3/c1-3-5(7)6(4-2)9-8/h6,8H,3-4H2,1-2H3/t6-/m0/s1",
969,826,C6KET35,1,"InChI=1S/C6H12O3/c1-3-6(7)4-5(2)9-8/h5,8H,3-4H2,1-2H3/t5-/m0/s1",
970,827,C6KET36,1,"InChI=1S/C6H12O3/c1-2-6(7)4-3-5-9-8/h8H,2-5H2,1H3",
971,828,C5H91-1,2,"InChI=1S/C5H9/c1-3-5-4-2/h1,3H,4-5H2,2H3",
972,829,C6H11O12-3OOH,1,"InChI=1S/C6H12O3/c1-2-3-5(9-7)6-4-8-6/h5-7H,2-4H2,1H3/t5-,6-/m0/s1",
973,829,C6H11O12-3OOH,1,"InChI=1S/C6H12O3/c1-2-3-5(9-7)6-4-8-6/h5-7H,2-4H2,1H3/t5-,6+/m0/s1",
974,830,C6H11O12-4OOH,1,"InChI=1S/C6H12O3/c1-2-5(9-7)3-6-4-8-6/h5-7H,2-4H2,1H3/t5-,6-/m0/s1",
975,830,C6H11O12-4OOH,1,"InChI=1S/C6H12O3/c1-2-5(9-7)3-6-4-8-6/h5-7H,2-4H2,1H3/t5-,6+/m0/s1",
976,831,C6H11O12-5OOH,1,"InChI=1S/C6H12O3/c1-5(9-7)2-3-6-4-8-6/h5-7H,2-4H2,1H3/t5-,6-/m0/s1",
977,831,C6H11O12-5OOH,1,"InChI=1S/C6H12O3/c1-5(9-7)2-3-6-4-8-6/h5-7H,2-4H2,1H3/t5-,6+/m0/s1",
978,832,C6H11O12-6OOH,1,"InChI=1S/C6H12O3/c7-9-4-2-1-3-6-5-8-6/h6-7H,1-5H2/t6-/m0/s1",
979,833,C6H11O13-2OOH,1,"InChI=1S/C6H12O3/c1-2-3-5-6(9-7)4-8-5/h5-7H,2-4H2,1H3/t5-,6-/m0/s1",
980,833,C6H11O13-2OOH,1,"InChI=1S/C6H12O3/c1-2-3-5-6(9-7)4-8-5/h5-7H,2-4H2,1H3/t5-,6+/m0/s1",
981,834,C6H11O13-4OOH,1,"InChI=1S/C6H12O3/c1-2-5(9-7)6-3-4-8-6/h5-7H,2-4H2,1H3/t5-,6-/m0/s1",
982,834,C6H11O13-4OOH,1,"InChI=1S/C6H12O3/c1-2-5(9-7)6-3-4-8-6/h5-7H,2-4H2,1H3/t5-,6+/m0/s1",
983,835,C6H11O13-5OOH,1,"InChI=1S/C6H12O3/c1-5(9-7)4-6-2-3-8-6/h5-7H,2-4H2,1H3/t5-,6-/m0/s1",
984,835,C6H11O13-5OOH,1,"InChI=1S/C6H12O3/c1-5(9-7)4-6-2-3-8-6/h5-7H,2-4H2,1H3/t5-,6+/m0/s1",
985,836,C6H11O13-6OOH,1,"InChI=1S/C6H12O3/c7-9-4-1-2-6-3-5-8-6/h6-7H,1-5H2/t6-/m0/s1",
986,837,C6H11O14-2OOH,1,"InChI=1S/C6H12O3/c1-2-5-3-6(9-7)4-8-5/h5-7H,2-4H2,1H3/t5-,6-/m0/s1",
987,837,C6H11O14-2OOH,1,"InChI=1S/C6H12O3/c1-2-5-3-6(9-7)4-8-5/h5-7H,2-4H2,1H3/t5-,6+/m0/s1",
988,838,C6H11O14-3OOH,1,"InChI=1S/C6H12O3/c1-2-5-6(9-7)3-4-8-5/h5-7H,2-4H2,1H3/t5-,6-/m0/s1",
989,838,C6H11O14-3OOH,1,"InChI=1S/C6H12O3/c1-2-5-6(9-7)3-4-8-5/h5-7H,2-4H2,1H3/t5-,6+/m0/s1",
990,839,C6H11O14-5OOH,1,"InChI=1S/C6H12O3/c1-5(9-7)6-3-2-4-8-6/h5-7H,2-4H2,1H3/t5-,6-/m0/s1",
991,839,C6H11O14-5OOH,1,"InChI=1S/C6H12O3/c1-5(9-7)6-3-2-4-8-6/h5-7H,2-4H2,1H3/t5-,6+/m0/s1",
992,840,C6H11O14-6OOH,1,"InChI=1S/C6H12O3/c7-9-5-3-6-2-1-4-8-6/h6-7H,1-5H2/t6-/m0/s1",
993,841,C6H11O15-2OOH,1,"InChI=1S/C6H12O3/c1-5-2-3-6(9-7)4-8-5/h5-7H,2-4H2,1H3/t5-,6-/m0/s1",
